es_no,es_door,es_wave,es_alive,es_temp,es_hum,es_date,es_ep1,es_ep2,es_ep3,es_ec1,es_ec2,es_ec3,es_pw_fc,es_thd1,es_thd2,es_thd3,es_max_ep
1,None,None,OFF,24.6,50.1,2023-07-19 11:52,0,0,0,0,0,0,0,0,0,0,0
2,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
3,None,None,OFF,28.8,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
4,None,None,OFF,28.7,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
5,None,None,OFF,28.7,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
6,None,None,OFF,28.7,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
7,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
8,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
9,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
10,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
11,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
12,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
13,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
14,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
15,None,None,OFF,28.7,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
16,None,None,OFF,28.7,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
17,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
18,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
19,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
20,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
21,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
22,None,None,OFF,28.8,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
23,None,None,OFF,28.7,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
24,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
25,None,None,OFF,28.8,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
26,None,None,OFF,28.7,69.9,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
27,None,None,OFF,28.8,69.8,2023-07-24 11:30,0,0,0,0,0,0,0,0,0,0,0
28,None,None,OFF,28.8,69.9,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
29,None,None,OFF,28.8,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
30,None,None,OFF,28.7,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
31,None,None,OFF,28.7,69.9,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
32,None,None,OFF,28.8,69.9,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
33,None,None,OFF,28.7,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
34,None,None,OFF,28.8,69.9,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
35,None,None,OFF,28.7,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
36,None,None,OFF,28.8,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
37,None,None,OFF,28.7,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
38,None,None,OFF,28.7,69.9,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
39,None,None,OFF,28.7,69.8,2023-07-24 11:31,0,0,0,0,0,0,0,0,0,0,0
40,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
41,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
42,None,None,OFF,28.8,69.9,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
43,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
44,None,None,OFF,28.8,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
45,None,None,OFF,28.8,69.9,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
46,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
47,None,None,OFF,28.7,69.9,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
48,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
49,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
50,None,None,OFF,28.7,69.9,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
51,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
52,None,None,OFF,28.8,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
53,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
54,None,None,OFF,28.7,69.9,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
55,None,None,OFF,28.7,69.8,2023-07-24 11:32,0,0,0,0,0,0,0,0,0,0,0
